loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage
LN100015,2023-07-01,376160.52,7.087,660-699,80-90,20-30,ID,Purchase,Primary Residence,Multi Unit,Servicer_B,2023
LN100016,2021-08-01,241928.75,3.351,740-779,90-100,20-30,WV,Purchase,Primary Residence,Condominium,Servicer_B,2021
LN100017,2018-11-01,208763.62,4.229,780+,0-60,20-30,ND,Purchase,Primary Residence,Single Family,Servicer_C,2018
LN100018,2023-11-01,353977.86,7.641,620-659,60-70,30-40,WI,Purchase,Investment,Single Family,Servicer_A,2023
LN100019,2021-02-01,212069.81,2.814,700-739,60-70,20-30,ME,Purchase,Investment,Single Family,Servicer_B,2021
LN100020,2021-07-01,75000.0,2.0,780+,70-80,40-50,MS,Purchase,Second Home,Condominium,Servicer_A,2021
LN100021,2020-08-01,75000.0,3.177,740-779,80-90,30-40,AZ,Purchase,Primary Residence,Single Family,Servicer_C,2020
LN100022,2019-04-01,503353.7,3.881,780+,70-80,30-40,WA,Refinance,Primary Residence,Single Family,Servicer_A,2019
LN100023,2024-06-01,491815.22,7.21,700-739,70-80,30-40,SD,Purchase,Primary Residence,Condominium,Servicer_B,2024
LN100024,2023-06-01,705917.54,6.599,740-779,60-70,30-40,IA,Purchase,Primary Residence,Townhouse,Servicer_C,2023
LN100025,2022-07-01,247601.45,5.033,660-699,0-60,30-40,AZ,Purchase,Primary Residence,Townhouse,Servicer_D,2022
LN100026,2020-10-01,122794.44,2.352,780+,60-70,20-30,OH,Purchase,Investment,Townhouse,Servicer_D,2020
LN100027,2023-10-01,198480.29,7.59,700-739,80-90,20-30,ND,Purchase,Primary Residence,Single Family,Servicer_E,2023
LN100028,2021-10-01,251575.82,2.285,740-779,70-80,20-30,NE,Refinance,Primary Residence,Townhouse,Servicer_C,2021
LN100029,2021-02-01,143680.19,2.516,700-739,60-70,0-20,DE,Purchase,Primary Residence,Townhouse,Servicer_B,2021
LN100030,2021-02-01,619044.41,3.443,700-739,80-90,0-20,VA,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100031,2019-08-01,856785.42,3.361,740-779,0-60,30-40,MI,Purchase,Primary Residence,Single Family,Servicer_A,2019
LN100032,2018-08-01,325224.37,4.085,700-739,60-70,0-20,OR,Purchase,Second Home,Single Family,Servicer_A,2018
LN100033,2021-11-01,248510.69,2.818,780+,60-70,20-30,TX,Refinance,Primary Residence,Multi Unit,Servicer_A,2021
LN100034,2024-03-01,122637.04,7.378,700-739,90-100,30-40,NV,Purchase,Primary Residence,Townhouse,Servicer_B,2024
LN100035,2018-06-01,585226.86,4.375,740-779,80-90,0-20,CA,Purchase,Primary Residence,Townhouse,Servicer_C,2018
LN100036,2024-01-01,260715.47,6.496,700-739,70-80,30-40,VT,Purchase,Primary Residence,Single Family,Servicer_C,2024
LN100037,2023-10-01,213240.47,7.224,700-739,0-60,0-20,ND,Refinance,Primary Residence,Multi Unit,Servicer_B,2023
LN100038,2019-12-01,325742.33,3.833,700-739,60-70,30-40,VT,Purchase,Primary Residence,Single Family,Servicer_B,2019
LN100039,2022-06-01,181148.94,6.359,620-659,70-80,30-40,NM,Refinance,Primary Residence,Single Family,Servicer_A,2022
LN100040,2019-02-01,271033.45,4.708,620-659,60-70,0-20,VA,Refinance,Primary Residence,Condominium,Servicer_B,2019
LN100041,2023-04-01,113080.97,6.804,740-779,90-100,0-20,UT,Refinance,Investment,Townhouse,Servicer_B,2023
LN100042,2022-11-01,454573.16,5.136,740-779,80-90,20-30,HI,Purchase,Primary Residence,Townhouse,Servicer_B,2022
LN100043,2020-06-01,236047.92,3.294,740-779,70-80,20-30,FL,Purchase,Primary Residence,Single Family,Servicer_A,2020
LN100044,2018-06-01,472860.96,6.379,580-619,80-90,0-20,FL,Purchase,Investment,Single Family,Servicer_E,2018
LN100045,2024-10-01,223818.63,6.677,700-739,90-100,40-50,SC,Refinance,Primary Residence,Single Family,Servicer_C,2024
LN100046,2021-02-01,231956.78,3.375,660-699,70-80,0-20,IL,Purchase,Second Home,Single Family,Servicer_C,2021
LN100047,2024-04-01,128340.43,6.554,740-779,70-80,30-40,MN,Purchase,Investment,Townhouse,Servicer_A,2024
LN100048,2022-09-01,379679.42,4.93,780+,90-100,0-20,SC,Purchase,Second Home,Single Family,Servicer_A,2022
LN100049,2023-06-01,154431.24,7.039,660-699,60-70,40-50,MI,Refinance,Primary Residence,Single Family,Servicer_B,2023
LN100050,2023-04-01,191316.4,6.355,740-779,80-90,0-20,AR,Refinance,Primary Residence,Single Family,Servicer_E,2023
LN100051,2019-05-01,250144.03,4.2,620-659,0-60,20-30,ME,Purchase,Primary Residence,Condominium,Servicer_A,2019
LN100052,2020-07-01,267236.55,3.12,660-699,70-80,20-30,CA,Purchase,Primary Residence,Townhouse,Servicer_B,2020
LN100053,2021-04-01,97817.9,3.61,620-659,80-90,0-20,MD,Refinance,Investment,Single Family,Servicer_E,2021
LN100054,2021-06-01,220195.92,3.189,660-699,70-80,30-40,OR,Refinance,Primary Residence,Single Family,Servicer_B,2021
LN100055,2018-04-01,387159.8,3.985,740-779,70-80,20-30,MT,Refinance,Second Home,Multi Unit,Servicer_B,2018
LN100056,2021-10-01,203034.31,2.932,780+,70-80,20-30,ND,Purchase,Primary Residence,Single Family,Servicer_C,2021
LN100057,2019-01-01,220932.77,4.138,660-699,0-60,20-30,CO,Purchase,Primary Residence,Single Family,Servicer_B,2019
LN100058,2023-03-01,273358.53,7.248,700-739,60-70,30-40,PA,Refinance,Primary Residence,Single Family,Servicer_E,2023
LN100059,2022-10-01,233266.76,4.942,740-779,60-70,0-20,MI,Purchase,Second Home,Multi Unit,Servicer_A,2022
LN100060,2024-06-01,141836.84,6.175,780+,70-80,0-20,IA,Purchase,Primary Residence,Condominium,Servicer_D,2024
LN100061,2023-03-01,245052.03,7.088,740-779,70-80,0-20,NC,Purchase,Second Home,Single Family,Servicer_A,2023
LN100062,2020-07-01,431903.06,3.087,660-699,60-70,20-30,CT,Purchase,Primary Residence,Single Family,Servicer_D,2020
LN100063,2024-10-01,140234.24,6.737,740-779,80-90,0-20,MO,Refinance,Investment,Single Family,Servicer_D,2024
LN100064,2020-11-01,203465.38,3.226,700-739,60-70,40-50,MI,Purchase,Primary Residence,Single Family,Servicer_D,2020
LN100065,2020-04-01,116928.62,2.239,780+,70-80,20-30,FL,Purchase,Second Home,Single Family,Servicer_D,2020
LN100066,2024-05-01,419566.06,7.053,700-739,70-80,30-40,WV,Purchase,Primary Residence,Single Family,Servicer_C,2024
LN100067,2020-08-01,237617.9,2.935,740-779,60-70,20-30,ME,Refinance,Primary Residence,Single Family,Servicer_A,2020
LN100068,2018-07-01,156624.48,6.321,580-619,80-90,20-30,AZ,Refinance,Investment,Single Family,Servicer_A,2018
LN100069,2021-04-01,263013.93,3.227,700-739,70-80,20-30,MN,Purchase,Primary Residence,Single Family,Servicer_B,2021
LN100070,2023-07-01,128957.23,6.5,780+,0-60,20-30,WI,Refinance,Primary Residence,Single Family,Servicer_B,2023
LN100071,2019-04-01,141604.56,4.057,740-779,90-100,20-30,ND,Purchase,Second Home,Townhouse,Servicer_B,2019
LN100072,2021-03-01,111987.52,2.901,700-739,80-90,20-30,NY,Refinance,Primary Residence,Single Family,Servicer_D,2021
LN100073,2018-11-01,139035.92,4.873,780+,80-90,20-30,VA,Refinance,Second Home,Townhouse,Servicer_D,2018
LN100074,2022-10-01,527419.68,4.582,780+,80-90,40-50,CA,Purchase,Primary Residence,Townhouse,Servicer_E,2022
LN100075,2021-04-01,167042.09,2.932,700-739,90-100,0-20,NV,Refinance,Investment,Multi Unit,Servicer_B,2021
LN100076,2020-04-01,323075.08,3.18,700-739,60-70,20-30,KY,Purchase,Primary Residence,Single Family,Servicer_D,2020
LN100077,2019-08-01,157826.31,4.427,700-739,70-80,0-20,ND,Purchase,Primary Residence,Single Family,Servicer_D,2019
LN100078,2021-12-01,379632.8,2.767,740-779,70-80,20-30,TX,Purchase,Second Home,Condominium,Servicer_E,2021
LN100079,2022-09-01,142183.12,5.54,700-739,60-70,30-40,AR,Refinance,Primary Residence,Single Family,Servicer_D,2022
LN100080,2024-07-01,255452.45,6.391,660-699,60-70,0-20,DE,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100081,2021-01-01,257373.71,2.11,780+,0-60,20-30,WV,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100082,2019-02-01,899423.37,2.878,780+,70-80,20-30,MO,Purchase,Primary Residence,Condominium,Servicer_E,2019
LN100083,2023-10-01,353610.08,6.744,780+,80-90,0-20,KS,Refinance,Primary Residence,Townhouse,Servicer_C,2023
LN100084,2022-05-01,180433.76,4.576,780+,80-90,40-50,DE,Purchase,Primary Residence,Single Family,Servicer_D,2022
LN100085,2022-11-01,364394.78,4.607,740-779,60-70,20-30,LA,Purchase,Primary Residence,Multi Unit,Servicer_D,2022
LN100086,2018-09-01,810342.4,4.344,740-779,60-70,30-40,AL,Purchase,Second Home,Townhouse,Servicer_D,2018
LN100087,2020-03-01,102019.2,3.179,740-779,70-80,20-30,ID,Refinance,Primary Residence,Single Family,Servicer_D,2020
LN100088,2023-05-01,157290.72,6.762,700-739,70-80,40-50,GA,Purchase,Primary Residence,Single Family,Servicer_E,2023
LN100089,2023-10-01,219459.4,7.381,700-739,90-100,20-30,CA,Purchase,Primary Residence,Single Family,Servicer_E,2023
LN100090,2021-01-01,198752.91,3.571,660-699,80-90,20-30,WI,Refinance,Primary Residence,Townhouse,Servicer_B,2021
LN100091,2023-08-01,208188.67,6.895,740-779,90-100,30-40,SC,Purchase,Primary Residence,Condominium,Servicer_A,2023
LN100092,2023-11-01,122013.68,6.932,660-699,80-90,20-30,WV,Purchase,Primary Residence,Condominium,Servicer_A,2023
LN100093,2020-09-01,541117.66,3.929,660-699,90-100,20-30,IL,Refinance,Second Home,Condominium,Servicer_B,2020
LN100094,2024-04-01,114322.82,7.024,700-739,70-80,40-50,IA,Purchase,Primary Residence,Single Family,Servicer_D,2024
LN100095,2020-01-01,223932.32,3.178,700-739,0-60,20-30,IA,Purchase,Primary Residence,Multi Unit,Servicer_D,2020
LN100096,2019-09-01,444374.53,4.084,660-699,0-60,30-40,NV,Purchase,Primary Residence,Townhouse,Servicer_B,2019
LN100097,2022-10-01,245883.84,4.739,740-779,70-80,30-40,GA,Refinance,Second Home,Condominium,Servicer_B,2022
LN100098,2022-06-01,145881.42,4.947,780+,60-70,30-40,ID,Refinance,Primary Residence,Single Family,Servicer_B,2022
LN100099,2018-12-01,119067.35,4.59,660-699,0-60,30-40,WI,Purchase,Primary Residence,Single Family,Servicer_D,2018
LN100100,2023-10-01,220293.63,8.265,580-619,90-100,20-30,LA,Purchase,Investment,Single Family,Servicer_C,2023
LN100101,2019-05-01,164859.67,3.752,700-739,60-70,20-30,SC,Purchase,Primary Residence,Single Family,Servicer_A,2019
LN100102,2023-08-01,279873.58,6.753,740-779,90-100,0-20,ID,Purchase,Primary Residence,Condominium,Servicer_B,2023
LN100103,2018-01-01,115660.92,4.757,740-779,80-90,30-40,WA,Purchase,Primary Residence,Townhouse,Servicer_C,2018
LN100104,2023-07-01,390969.9,6.985,620-659,70-80,30-40,OH,Purchase,Primary Residence,Multi Unit,Servicer_C,2023
LN100105,2023-07-01,266403.79,6.262,740-779,70-80,20-30,UT,Purchase,Second Home,Single Family,Servicer_D,2023
LN100106,2023-06-01,277513.88,7.211,620-659,60-70,0-20,MT,Purchase,Primary Residence,Single Family,Servicer_E,2023
LN100107,2022-08-01,552278.89,5.824,700-739,70-80,20-30,VA,Purchase,Second Home,Single Family,Servicer_A,2022
LN100108,2021-04-01,196502.15,2.676,780+,60-70,20-30,ME,Purchase,Primary Residence,Multi Unit,Servicer_A,2021
LN100109,2022-12-01,167714.27,5.498,660-699,90-100,30-40,MS,Purchase,Investment,Townhouse,Servicer_B,2022
LN100110,2019-12-01,184969.5,4.495,660-699,60-70,0-20,AR,Purchase,Investment,Single Family,Servicer_B,2019
LN100111,2023-06-01,224880.98,7.115,700-739,60-70,30-40,FL,Purchase,Primary Residence,Single Family,Servicer_B,2023
LN100112,2021-11-01,237800.06,2.558,740-779,80-90,30-40,RI,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100113,2021-03-01,158313.49,2.0,780+,70-80,40-50,KY,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100114,2021-07-01,82167.84,2.438,780+,70-80,0-20,CO,Purchase,Investment,Single Family,Servicer_D,2021
LN100115,2021-12-01,183634.98,3.897,620-659,70-80,40-50,IA,Refinance,Primary Residence,Single Family,Servicer_A,2021
LN100116,2018-04-01,304711.38,5.417,620-659,0-60,30-40,LA,Refinance,Primary Residence,Single Family,Servicer_D,2018
LN100117,2018-12-01,269455.43,4.029,740-779,70-80,30-40,OK,Refinance,Investment,Single Family,Servicer_B,2018
LN100118,2019-09-01,483579.57,4.616,660-699,60-70,0-20,CA,Purchase,Second Home,Single Family,Servicer_B,2019
LN100119,2018-10-01,732877.46,3.272,780+,60-70,20-30,AK,Refinance,Primary Residence,Condominium,Servicer_A,2018
LN100120,2021-01-01,379591.05,2.4,740-779,0-60,30-40,OR,Purchase,Investment,Single Family,Servicer_A,2021
LN100121,2022-09-01,534775.63,5.715,620-659,60-70,20-30,DE,Purchase,Primary Residence,Single Family,Servicer_B,2022
LN100122,2022-07-01,381147.63,5.336,740-779,60-70,20-30,MA,Purchase,Primary Residence,Multi Unit,Servicer_D,2022
LN100123,2021-04-01,640279.95,3.599,660-699,70-80,20-30,OH,Purchase,Investment,Single Family,Servicer_E,2021
LN100124,2023-12-01,691892.38,6.996,700-739,60-70,20-30,MT,Purchase,Primary Residence,Condominium,Servicer_A,2023
LN100125,2021-12-01,421829.74,2.455,700-739,60-70,0-20,CT,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100126,2018-07-01,368695.09,4.799,700-739,70-80,20-30,OR,Refinance,Second Home,Condominium,Servicer_A,2018
LN100127,2023-05-01,223314.98,6.513,740-779,0-60,0-20,AZ,Purchase,Primary Residence,Single Family,Servicer_D,2023
LN100128,2022-01-01,244380.25,4.789,740-779,80-90,40-50,ID,Purchase,Primary Residence,Single Family,Servicer_A,2022
LN100129,2022-06-01,207607.73,4.62,780+,90-100,40-50,CO,Refinance,Primary Residence,Single Family,Servicer_A,2022
LN100130,2021-12-01,351830.42,2.771,780+,70-80,20-30,MT,Purchase,Primary Residence,Condominium,Servicer_E,2021
LN100131,2021-11-01,168219.47,3.306,700-739,90-100,0-20,OH,Purchase,Primary Residence,Condominium,Servicer_D,2021
LN100132,2018-08-01,225056.73,4.554,620-659,0-60,0-20,NC,Purchase,Second Home,Condominium,Servicer_C,2018
LN100133,2021-11-01,75000.0,2.448,740-779,0-60,20-30,CT,Purchase,Primary Residence,Single Family,Servicer_A,2021
LN100134,2023-07-01,644941.98,6.619,780+,80-90,30-40,LA,Refinance,Primary Residence,Condominium,Servicer_B,2023
LN100135,2020-02-01,221450.68,3.535,660-699,80-90,20-30,DE,Refinance,Primary Residence,Single Family,Servicer_A,2020
LN100136,2022-03-01,321189.14,5.074,700-739,80-90,0-20,LA,Refinance,Primary Residence,Single Family,Servicer_C,2022
LN100137,2018-03-01,557377.97,4.906,700-739,0-60,0-20,ID,Purchase,Primary Residence,Single Family,Servicer_D,2018
LN100138,2020-06-01,294895.87,4.211,620-659,80-90,0-20,PA,Refinance,Second Home,Single Family,Servicer_A,2020
LN100139,2021-01-01,553272.12,2.509,740-779,60-70,30-40,PA,Refinance,Investment,Townhouse,Servicer_E,2021
LN100140,2024-11-01,126280.44,6.651,700-739,60-70,30-40,SD,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100141,2019-07-01,934506.0,3.598,740-779,0-60,20-30,HI,Purchase,Investment,Single Family,Servicer_D,2019
LN100142,2019-12-01,454578.91,3.751,740-779,90-100,20-30,AL,Purchase,Primary Residence,Multi Unit,Servicer_A,2019
LN100143,2020-11-01,280485.57,2.757,740-779,0-60,40-50,AK,Purchase,Primary Residence,Townhouse,Servicer_B,2020
LN100144,2024-12-01,547440.92,6.641,700-739,80-90,20-30,TX,Refinance,Primary Residence,Single Family,Servicer_A,2024
LN100145,2023-12-01,131461.2,6.789,700-739,70-80,30-40,VA,Purchase,Primary Residence,Townhouse,Servicer_C,2023
LN100146,2018-03-01,213304.93,4.139,740-779,80-90,30-40,HI,Purchase,Investment,Single Family,Servicer_A,2018
LN100147,2019-08-01,553243.72,3.555,740-779,80-90,20-30,UT,Refinance,Primary Residence,Townhouse,Servicer_B,2019
LN100148,2023-10-01,89530.36,7.504,700-739,80-90,30-40,NE,Purchase,Second Home,Single Family,Servicer_D,2023
LN100149,2018-05-01,340260.91,3.958,780+,60-70,20-30,GA,Purchase,Primary Residence,Single Family,Servicer_D,2018
LN100150,2023-12-01,335009.14,6.922,660-699,0-60,30-40,KS,Refinance,Primary Residence,Multi Unit,Servicer_C,2023
LN100151,2019-12-01,738436.5,2.837,780+,70-80,0-20,IN,Refinance,Primary Residence,Single Family,Servicer_C,2019
LN100152,2024-06-01,104672.4,7.161,620-659,60-70,20-30,RI,Refinance,Investment,Townhouse,Servicer_C,2024
LN100153,2020-01-01,605926.08,3.298,660-699,0-60,0-20,GA,Purchase,Primary Residence,Single Family,Servicer_C,2020
LN100154,2021-01-01,183782.32,2.918,700-739,60-70,0-20,GA,Refinance,Primary Residence,Single Family,Servicer_B,2021
LN100155,2022-08-01,195508.86,5.194,620-659,60-70,0-20,OK,Refinance,Primary Residence,Multi Unit,Servicer_A,2022
LN100156,2018-11-01,127658.47,5.002,620-659,0-60,20-30,KS,Purchase,Primary Residence,Single Family,Servicer_B,2018
LN100157,2021-11-01,137433.79,4.07,580-619,0-60,20-30,IL,Purchase,Primary Residence,Townhouse,Servicer_A,2021
LN100158,2021-07-01,312123.27,3.745,700-739,90-100,20-30,SD,Purchase,Second Home,Townhouse,Servicer_B,2021
LN100159,2023-06-01,135595.8,6.263,740-779,60-70,20-30,WA,Refinance,Primary Residence,Single Family,Servicer_B,2023
LN100160,2024-12-01,375634.76,7.767,580-619,90-100,40-50,NV,Refinance,Primary Residence,Single Family,Servicer_A,2024
LN100161,2022-08-01,173613.16,5.191,740-779,90-100,40-50,TN,Purchase,Primary Residence,Single Family,Servicer_D,2022
LN100162,2020-11-01,128289.87,2.331,740-779,0-60,0-20,TX,Purchase,Primary Residence,Single Family,Servicer_C,2020
LN100163,2020-11-01,187010.71,3.781,660-699,80-90,20-30,NJ,Refinance,Primary Residence,Single Family,Servicer_C,2020
LN100164,2020-12-01,300861.45,2.545,660-699,70-80,30-40,TN,Purchase,Primary Residence,Single Family,Servicer_E,2020
LN100165,2023-09-01,214630.22,6.375,780+,80-90,30-40,AL,Purchase,Primary Residence,Townhouse,Servicer_B,2023
LN100166,2020-03-01,254748.42,3.088,740-779,0-60,20-30,AK,Purchase,Primary Residence,Single Family,Servicer_A,2020
LN100167,2019-03-01,366638.01,3.842,700-739,60-70,30-40,VT,Purchase,Primary Residence,Condominium,Servicer_A,2019
LN100168,2020-05-01,453408.15,2.929,740-779,0-60,0-20,DE,Refinance,Primary Residence,Single Family,Servicer_C,2020
LN100169,2018-02-01,210799.72,4.647,620-659,70-80,20-30,OR,Purchase,Primary Residence,Single Family,Servicer_A,2018
LN100170,2018-09-01,140771.61,4.459,700-739,90-100,30-40,MI,Purchase,Investment,Single Family,Servicer_D,2018
LN100171,2018-08-01,260685.03,4.721,740-779,70-80,30-40,SC,Refinance,Investment,Single Family,Servicer_B,2018
LN100172,2023-05-01,323862.22,7.29,660-699,80-90,30-40,ND,Refinance,Primary Residence,Condominium,Servicer_B,2023
LN100173,2023-01-01,111951.08,6.991,740-779,90-100,0-20,AR,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100174,2022-11-01,153181.94,5.005,700-739,70-80,0-20,KY,Purchase,Primary Residence,Townhouse,Servicer_B,2022
LN100175,2021-03-01,168326.93,2.54,740-779,0-60,0-20,OK,Refinance,Second Home,Townhouse,Servicer_D,2021
LN100176,2023-01-01,222997.09,6.666,700-739,80-90,0-20,WA,Purchase,Primary Residence,Single Family,Servicer_C,2023
LN100177,2019-02-01,164496.99,4.196,700-739,60-70,0-20,SD,Purchase,Primary Residence,Townhouse,Servicer_D,2019
LN100178,2024-04-01,368829.07,7.708,660-699,0-60,20-30,VT,Purchase,Primary Residence,Multi Unit,Servicer_C,2024
LN100179,2021-07-01,103403.38,3.355,660-699,70-80,20-30,WV,Purchase,Primary Residence,Single Family,Servicer_B,2021
LN100180,2024-07-01,104858.9,6.8,740-779,90-100,30-40,VT,Refinance,Primary Residence,Multi Unit,Servicer_B,2024
LN100181,2019-01-01,208059.08,3.68,620-659,60-70,20-30,NJ,Purchase,Primary Residence,Single Family,Servicer_C,2019
LN100182,2021-06-01,226977.72,3.055,620-659,70-80,0-20,KY,Purchase,Second Home,Condominium,Servicer_B,2021
LN100183,2022-11-01,112326.16,5.856,660-699,0-60,30-40,MT,Purchase,Second Home,Single Family,Servicer_B,2022
LN100184,2021-06-01,179065.03,2.701,660-699,0-60,0-20,SC,Purchase,Primary Residence,Townhouse,Servicer_A,2021
LN100185,2021-02-01,200514.55,2.399,740-779,0-60,30-40,MI,Purchase,Primary Residence,Townhouse,Servicer_C,2021
LN100186,2019-02-01,201370.61,4.337,700-739,80-90,0-20,TN,Refinance,Investment,Multi Unit,Servicer_A,2019
LN100187,2020-09-01,271780.77,3.255,780+,80-90,20-30,OK,Purchase,Second Home,Multi Unit,Servicer_E,2020
LN100188,2019-09-01,173745.66,4.28,620-659,0-60,30-40,HI,Purchase,Investment,Single Family,Servicer_A,2019
LN100189,2020-02-01,563558.35,2.639,740-779,60-70,20-30,WA,Purchase,Investment,Condominium,Servicer_B,2020
LN100190,2022-10-01,327004.35,5.261,700-739,60-70,30-40,TX,Refinance,Primary Residence,Single Family,Servicer_A,2022
LN100191,2022-05-01,160380.4,4.952,700-739,0-60,30-40,NJ,Purchase,Primary Residence,Single Family,Servicer_B,2022
LN100192,2022-04-01,263339.02,4.668,780+,70-80,0-20,GA,Refinance,Primary Residence,Single Family,Servicer_B,2022
LN100193,2020-07-01,267647.11,2.934,780+,80-90,30-40,ID,Purchase,Primary Residence,Multi Unit,Servicer_C,2020
LN100194,2024-09-01,487630.39,6.396,780+,70-80,30-40,TN,Purchase,Primary Residence,Condominium,Servicer_A,2024
LN100195,2018-08-01,179693.13,5.429,660-699,70-80,40-50,AL,Purchase,Primary Residence,Single Family,Servicer_A,2018
LN100196,2020-05-01,381265.96,3.492,660-699,70-80,20-30,MO,Purchase,Primary Residence,Multi Unit,Servicer_A,2020
LN100197,2018-10-01,255821.74,4.435,740-779,0-60,20-30,NM,Refinance,Primary Residence,Townhouse,Servicer_B,2018
LN100198,2020-05-01,567830.24,2.839,660-699,0-60,30-40,ID,Refinance,Primary Residence,Single Family,Servicer_E,2020
LN100199,2024-09-01,508492.88,7.148,740-779,90-100,20-30,UT,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100200,2020-07-01,278606.26,3.093,700-739,80-90,20-30,NE,Purchase,Primary Residence,Condominium,Servicer_D,2020
LN100201,2024-05-01,216416.65,7.359,700-739,90-100,0-20,AR,Purchase,Primary Residence,Condominium,Servicer_B,2024
LN100202,2021-06-01,330330.67,3.317,740-779,90-100,0-20,KY,Purchase,Primary Residence,Single Family,Servicer_B,2021
LN100203,2022-11-01,226379.64,5.105,740-779,70-80,20-30,MD,Refinance,Primary Residence,Single Family,Servicer_D,2022
LN100204,2021-03-01,629943.31,5.282,580-619,90-100,0-20,ID,Refinance,Primary Residence,Single Family,Servicer_A,2021
LN100205,2019-11-01,261025.85,4.968,620-659,70-80,0-20,WV,Purchase,Primary Residence,Single Family,Servicer_D,2019
LN100206,2023-05-01,200008.02,6.713,740-779,0-60,0-20,ME,Refinance,Investment,Single Family,Servicer_B,2023
LN100207,2024-10-01,194158.07,6.869,700-739,0-60,40-50,MT,Refinance,Primary Residence,Single Family,Servicer_B,2024
LN100208,2019-11-01,128289.75,4.519,660-699,0-60,0-20,NE,Purchase,Primary Residence,Single Family,Servicer_E,2019
LN100209,2023-06-01,339532.08,6.179,700-739,0-60,0-20,ID,Purchase,Second Home,Condominium,Servicer_B,2023
LN100210,2019-10-01,159246.73,4.001,740-779,60-70,20-30,NH,Purchase,Primary Residence,Single Family,Servicer_E,2019
LN100211,2023-01-01,457347.02,6.463,740-779,80-90,0-20,LA,Refinance,Investment,Single Family,Servicer_E,2023
LN100212,2023-07-01,122774.17,6.841,700-739,80-90,40-50,AL,Refinance,Primary Residence,Single Family,Servicer_A,2023
LN100213,2021-02-01,268122.43,3.128,700-739,70-80,40-50,MA,Purchase,Primary Residence,Multi Unit,Servicer_B,2021
LN100214,2023-02-01,470635.54,7.23,660-699,0-60,20-30,NJ,Purchase,Primary Residence,Single Family,Servicer_D,2023
LN100215,2019-11-01,76533.23,3.794,700-739,80-90,20-30,CO,Purchase,Primary Residence,Single Family,Servicer_A,2019
LN100216,2018-07-01,758624.53,4.536,660-699,60-70,20-30,RI,Purchase,Investment,Single Family,Servicer_D,2018
LN100217,2018-09-01,197858.88,4.369,700-739,0-60,0-20,ND,Purchase,Primary Residence,Condominium,Servicer_A,2018
LN100218,2021-02-01,270173.24,2.554,740-779,60-70,20-30,KS,Refinance,Primary Residence,Single Family,Servicer_A,2021
LN100219,2024-04-01,342324.11,7.596,620-659,60-70,0-20,NJ,Purchase,Primary Residence,Single Family,Servicer_B,2024
LN100220,2018-11-01,372721.65,6.671,580-619,60-70,0-20,KS,Purchase,Investment,Townhouse,Servicer_D,2018
