loan_id,reporting_month,rule_id,relationship,affected_columns,observed_values,severity,description
LN100056,2022-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100056;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100057,2024-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100057;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100058,2025-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100058;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100059,2022-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100059;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100073,2020-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100073;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100075,2026-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100075;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100077,2025-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100077;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100085,2023-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100085;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100088,2024-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100088;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100090,2023-03-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100090;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100095,2025-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100095;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100096,2023-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100096;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100099,2022-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100099;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100100,2025-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100100;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100101,2020-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100101;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100102,2026-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100102;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100104,2024-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100104;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100108,2021-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100108;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100109,2025-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100109;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100110,2022-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100110;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100111,2025-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100111;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100113,2023-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100113;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100116,2019-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100116;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100119,2026-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100119;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100123,2023-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100123;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100125,2025-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100125;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100128,2022-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100128;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100130,2022-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100130;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100132,2019-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100132;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100135,2023-03-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100135;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100136,2023-10-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100136;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100138,2026-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100138;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100139,2025-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100139;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100141,2023-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100141;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100146,2018-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100146;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100147,2025-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100147;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100149,2022-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100149;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100154,2024-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100154;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100155,2025-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100155;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100156,2024-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100156;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100157,2024-04-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100157;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100158,2024-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100158;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100159,2024-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100159;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100160,2025-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100160;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100166,2022-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100166;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100169,2020-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100169;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100170,2019-10-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100170;days_past_due=0,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100172,2026-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100172;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100176,2023-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100176;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100177,2025-11-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100177;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100178,2026-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100178;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100182,2021-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100182;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100183,2025-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100183;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100184,2023-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100184;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100193,2022-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100193;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100195,2026-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100195;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100196,2024-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100196;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100199,2025-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100199;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100204,2023-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100204;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100206,2025-07-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100206;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100208,2026-02-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100208;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100212,2025-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100212;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100213,2023-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100213;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100215,2020-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100215;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100216,2023-12-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100216;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100217,2022-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100217;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100219,2025-03-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100219;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100220,2019-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100220;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100221,2023-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100221;days_past_due=0,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100224,2024-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100224;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100226,2025-10-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100226;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100229,2026-03-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100229;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100230,2023-06-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100230;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100234,2023-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100234;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100235,2026-01-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100235;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100244,2022-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100244;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100247,2023-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100247;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100249,2018-05-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100249;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100250,2020-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100250;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100251,2022-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100251;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100255,2022-10-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100255;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100262,2022-08-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100262;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
LN100266,2022-09-01 00:00:00,DLQ006,Logical Delinquency Progression,loan_id;days_past_due,loan_id=LN100266;days_past_due=90,warning,"Delinquency transitions should roll sequentially (e.g., 0 to 30, 30 to 60, 60 to 90). Skipped DPD buckets raise warnings."
